section,subsection,function_name,parameters,description,source_url
DataFrame,Constructor,DataFrame,"[data, index, columns, dtype, copy]","Two-dimensional, size-mutable, potentially heterogeneous tabular data.",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.html
DataFrame,Attributes and underlying data,DataFrame.index,,The index (row labels) of the DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.index.html
DataFrame,Attributes and underlying data,DataFrame.columns,,The column labels of the DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.columns.html
DataFrame,Attributes and underlying data,DataFrame.dtypes,,Return the dtypes in the DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.dtypes.html
DataFrame,Attributes and underlying data,DataFrame.info,"[verbose, buf, max_cols, ...]",Print a concise summary of a DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.info.html
DataFrame,Attributes and underlying data,DataFrame.select_dtypes,"[include, exclude]",Return a subset of the DataFrame's columns based on the column dtypes.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.select_dtypes.html
DataFrame,Attributes and underlying data,DataFrame.values,,Return a Numpy representation of the DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.values.html
DataFrame,Attributes and underlying data,DataFrame.axes,,Return a list representing the axes of the DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.axes.html
DataFrame,Attributes and underlying data,DataFrame.ndim,,Return an int representing the number of axes / array dimensions.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.ndim.html
DataFrame,Attributes and underlying data,DataFrame.size,,Return an int representing the number of elements in this object.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.size.html
DataFrame,Attributes and underlying data,DataFrame.shape,,Return a tuple representing the dimensionality of the DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.shape.html
DataFrame,Attributes and underlying data,DataFrame.memory_usage,"[index, deep]",Return the memory usage of each column in bytes.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.memory_usage.html
DataFrame,Attributes and underlying data,DataFrame.empty,,Indicator whether Series/DataFrame is empty.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.empty.html
DataFrame,Attributes and underlying data,DataFrame.set_flags,"*[, copy, ...]",Return a new object with updated flags.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.set_flags.html
